,REF_DATE,GEO,New housing price indexes,UOM,HPI_kitchener_camb_water_ont
177,1995-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",51.9
178,1995-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.0
179,1995-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.5
180,1996-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.6
181,1996-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.6
182,1996-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.6
183,1996-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.5
184,1996-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.4
185,1996-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.3
186,1996-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.2
187,1996-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.2
188,1996-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.3
189,1996-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",51.8
190,1996-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.1
191,1996-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.1
192,1997-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.4
193,1997-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.1
194,1997-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.2
195,1997-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.3
196,1997-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",52.7
197,1997-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.1
198,1997-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.2
199,1997-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.1
200,1997-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.6
201,1997-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.8
202,1997-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.2
203,1997-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.3
204,1998-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.4
205,1998-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.3
206,1998-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.3
207,1998-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.4
208,1998-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.7
209,1998-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.9
210,1998-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.9
211,1998-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.1
212,1998-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.0
213,1998-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",54.9
214,1998-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.0
215,1998-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.1
216,1999-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.5
217,1999-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.5
218,1999-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.4
219,1999-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",55.6
220,1999-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.3
221,1999-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.2
222,1999-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.5
223,1999-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.8
224,1999-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.6
225,1999-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",56.7
226,1999-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",57.1
227,1999-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",57.2
228,2000-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",57.2
229,2000-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",58.3
230,2000-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",58.6
231,2000-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",58.8
232,2000-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",59.4
233,2000-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",59.4
234,2000-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",59.7
235,2000-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.1
236,2000-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.5
237,2000-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.4
238,2000-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.5
239,2000-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.8
240,2001-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.9
241,2001-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.3
242,2001-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.4
243,2001-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.7
244,2001-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",60.9
245,2001-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",61.6
246,2001-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.0
247,2001-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.1
248,2001-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.3
249,2001-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.7
250,2001-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.0
251,2001-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.3
252,2002-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.7
253,2002-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.8
254,2002-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.9
255,2002-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",63.1
256,2002-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",64.9
257,2002-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",65.9
258,2002-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",65.9
259,2002-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",66.2
260,2002-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",65.8
261,2002-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",66.2
262,2002-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",66.6
263,2002-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",66.7
264,2003-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",66.6
265,2003-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",67.4
266,2003-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",67.4
267,2003-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",67.3
268,2003-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",67.4
269,2003-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",67.3
270,2003-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",67.9
271,2003-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",68.2
272,2003-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",68.3
273,2003-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",68.3
274,2003-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",68.5
