,REF_DATE,GEO,New housing price indexes,UOM,HPI_troisriv_qc
126,1991-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
127,1991-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
128,1991-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
129,1991-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
130,1991-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
131,1991-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
132,1992-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
133,1992-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
134,1992-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
135,1992-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
136,1992-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
137,1992-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
138,1992-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
139,1992-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
140,1992-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
141,1992-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
142,1992-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
143,1992-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
144,1993-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
145,1993-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
146,1993-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
147,1993-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
148,1993-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
149,1993-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
150,1993-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
151,1993-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
152,1993-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
153,1993-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
154,1993-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
155,1993-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
156,1994-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
157,1994-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
158,1994-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
159,1994-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
160,1994-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
161,1994-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
