,REF_DATE,GEO,New housing price indexes,UOM,HPI_saskatoon_sask
105,1989-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.3
106,1989-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
107,1989-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
108,1990-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
109,1990-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
110,1990-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
111,1990-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
112,1990-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
113,1990-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
114,1990-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
115,1990-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
116,1990-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
117,1990-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
118,1990-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
119,1990-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
120,1991-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
121,1991-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.2
122,1991-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.3
123,1991-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.3
124,1991-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.3
125,1991-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.4
126,1991-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.4
127,1991-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.4
128,1991-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.4
129,1991-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.4
130,1991-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.4
131,1991-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.4
132,1992-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.4
133,1992-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.4
134,1992-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.5
135,1992-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.6
136,1992-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.6
137,1992-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.6
138,1992-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.6
139,1992-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.6
140,1992-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.7
141,1992-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.7
142,1992-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.7
143,1992-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",41.1
144,1993-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",41.1
145,1993-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",41.1
146,1993-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.6
147,1993-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.6
148,1993-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.6
149,1993-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.6
150,1993-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.6
151,1993-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.6
152,1993-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.6
153,1993-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.6
154,1993-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.6
155,1993-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.1
156,1994-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.1
157,1994-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.1
158,1994-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.1
159,1994-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.1
160,1994-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.1
161,1994-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.9
162,1994-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.9
163,1994-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.9
164,1994-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.0
165,1994-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.0
166,1994-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.0
167,1994-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.8
168,1995-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.8
169,1995-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",42.8
170,1995-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.1
171,1995-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.4
172,1995-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.4
173,1995-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.4
174,1995-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.4
175,1995-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.4
176,1995-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.4
177,1995-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.6
178,1995-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.6
179,1995-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.6
180,1996-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.6
181,1996-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.6
182,1996-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.8
183,1996-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.9
184,1996-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",43.9
185,1996-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.1
186,1996-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.1
187,1996-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.1
188,1996-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.5
189,1996-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.5
190,1996-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.5
191,1996-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.5
192,1997-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.5
193,1997-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.5
194,1997-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.8
195,1997-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.8
196,1997-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",44.8
197,1997-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",45.4
198,1997-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",45.4
199,1997-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",45.4
200,1997-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",45.4
201,1997-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",45.4
202,1997-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",45.4
203,1997-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",45.5
204,1998-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",45.8
205,1998-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",45.8
206,1998-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.0
207,1998-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.3
208,1998-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.3
209,1998-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.4
210,1998-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.4
211,1998-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.4
212,1998-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.4
213,1998-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.4
214,1998-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.4
215,1998-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.4
216,1999-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.4
