,REF_DATE,GEO,New housing price indexes,UOM,HPI_calgary_alb
141,1992-10,"Calgary, Alberta",House only,"Index, 201612=100",32.0
142,1992-11,"Calgary, Alberta",House only,"Index, 201612=100",32.0
143,1992-12,"Calgary, Alberta",House only,"Index, 201612=100",32.2
144,1993-01,"Calgary, Alberta",House only,"Index, 201612=100",32.2
145,1993-02,"Calgary, Alberta",House only,"Index, 201612=100",32.4
146,1993-03,"Calgary, Alberta",House only,"Index, 201612=100",33.8
147,1993-04,"Calgary, Alberta",House only,"Index, 201612=100",33.7
148,1993-05,"Calgary, Alberta",House only,"Index, 201612=100",33.5
149,1993-06,"Calgary, Alberta",House only,"Index, 201612=100",32.9
150,1993-07,"Calgary, Alberta",House only,"Index, 201612=100",33.0
151,1993-08,"Calgary, Alberta",House only,"Index, 201612=100",32.9
152,1993-09,"Calgary, Alberta",House only,"Index, 201612=100",33.0
153,1993-10,"Calgary, Alberta",House only,"Index, 201612=100",33.0
154,1993-11,"Calgary, Alberta",House only,"Index, 201612=100",33.1
155,1993-12,"Calgary, Alberta",House only,"Index, 201612=100",33.3
156,1994-01,"Calgary, Alberta",House only,"Index, 201612=100",33.7
157,1994-02,"Calgary, Alberta",House only,"Index, 201612=100",33.7
158,1994-03,"Calgary, Alberta",House only,"Index, 201612=100",33.9
159,1994-04,"Calgary, Alberta",House only,"Index, 201612=100",33.9
160,1994-05,"Calgary, Alberta",House only,"Index, 201612=100",33.7
161,1994-06,"Calgary, Alberta",House only,"Index, 201612=100",33.9
162,1994-07,"Calgary, Alberta",House only,"Index, 201612=100",33.9
163,1994-08,"Calgary, Alberta",House only,"Index, 201612=100",34.0
164,1994-09,"Calgary, Alberta",House only,"Index, 201612=100",34.0
165,1994-10,"Calgary, Alberta",House only,"Index, 201612=100",34.0
166,1994-11,"Calgary, Alberta",House only,"Index, 201612=100",34.1
167,1994-12,"Calgary, Alberta",House only,"Index, 201612=100",34.0
168,1995-01,"Calgary, Alberta",House only,"Index, 201612=100",34.0
169,1995-02,"Calgary, Alberta",House only,"Index, 201612=100",34.1
170,1995-03,"Calgary, Alberta",House only,"Index, 201612=100",34.2
171,1995-04,"Calgary, Alberta",House only,"Index, 201612=100",34.2
172,1995-05,"Calgary, Alberta",House only,"Index, 201612=100",34.2
173,1995-06,"Calgary, Alberta",House only,"Index, 201612=100",34.2
174,1995-07,"Calgary, Alberta",House only,"Index, 201612=100",34.2
175,1995-08,"Calgary, Alberta",House only,"Index, 201612=100",34.2
176,1995-09,"Calgary, Alberta",House only,"Index, 201612=100",34.2
177,1995-10,"Calgary, Alberta",House only,"Index, 201612=100",34.2
178,1995-11,"Calgary, Alberta",House only,"Index, 201612=100",34.1
179,1995-12,"Calgary, Alberta",House only,"Index, 201612=100",34.1
180,1996-01,"Calgary, Alberta",House only,"Index, 201612=100",34.1
181,1996-02,"Calgary, Alberta",House only,"Index, 201612=100",34.1
182,1996-03,"Calgary, Alberta",House only,"Index, 201612=100",34.0
183,1996-04,"Calgary, Alberta",House only,"Index, 201612=100",34.1
184,1996-05,"Calgary, Alberta",House only,"Index, 201612=100",34.1
185,1996-06,"Calgary, Alberta",House only,"Index, 201612=100",34.5
186,1996-07,"Calgary, Alberta",House only,"Index, 201612=100",34.6
187,1996-08,"Calgary, Alberta",House only,"Index, 201612=100",34.6
188,1996-09,"Calgary, Alberta",House only,"Index, 201612=100",34.9
189,1996-10,"Calgary, Alberta",House only,"Index, 201612=100",35.1
190,1996-11,"Calgary, Alberta",House only,"Index, 201612=100",35.5
191,1996-12,"Calgary, Alberta",House only,"Index, 201612=100",36.2
192,1997-01,"Calgary, Alberta",House only,"Index, 201612=100",36.3
193,1997-02,"Calgary, Alberta",House only,"Index, 201612=100",36.4
194,1997-03,"Calgary, Alberta",House only,"Index, 201612=100",36.7
195,1997-04,"Calgary, Alberta",House only,"Index, 201612=100",36.8
196,1997-05,"Calgary, Alberta",House only,"Index, 201612=100",36.9
197,1997-06,"Calgary, Alberta",House only,"Index, 201612=100",37.2
198,1997-07,"Calgary, Alberta",House only,"Index, 201612=100",37.3
199,1997-08,"Calgary, Alberta",House only,"Index, 201612=100",37.4
200,1997-09,"Calgary, Alberta",House only,"Index, 201612=100",37.6
201,1997-10,"Calgary, Alberta",House only,"Index, 201612=100",38.0
202,1997-11,"Calgary, Alberta",House only,"Index, 201612=100",38.3
203,1997-12,"Calgary, Alberta",House only,"Index, 201612=100",38.8
204,1998-01,"Calgary, Alberta",House only,"Index, 201612=100",39.6
205,1998-02,"Calgary, Alberta",House only,"Index, 201612=100",39.8
206,1998-03,"Calgary, Alberta",House only,"Index, 201612=100",40.0
207,1998-04,"Calgary, Alberta",House only,"Index, 201612=100",40.3
208,1998-05,"Calgary, Alberta",House only,"Index, 201612=100",40.5
209,1998-06,"Calgary, Alberta",House only,"Index, 201612=100",40.8
210,1998-07,"Calgary, Alberta",House only,"Index, 201612=100",41.1
211,1998-08,"Calgary, Alberta",House only,"Index, 201612=100",41.2
212,1998-09,"Calgary, Alberta",House only,"Index, 201612=100",41.3
213,1998-10,"Calgary, Alberta",House only,"Index, 201612=100",41.3
214,1998-11,"Calgary, Alberta",House only,"Index, 201612=100",41.4
215,1998-12,"Calgary, Alberta",House only,"Index, 201612=100",41.6
216,1999-01,"Calgary, Alberta",House only,"Index, 201612=100",41.8
217,1999-02,"Calgary, Alberta",House only,"Index, 201612=100",42.0
218,1999-03,"Calgary, Alberta",House only,"Index, 201612=100",42.3
219,1999-04,"Calgary, Alberta",House only,"Index, 201612=100",42.4
220,1999-05,"Calgary, Alberta",House only,"Index, 201612=100",42.5
221,1999-06,"Calgary, Alberta",House only,"Index, 201612=100",42.6
222,1999-07,"Calgary, Alberta",House only,"Index, 201612=100",42.7
223,1999-08,"Calgary, Alberta",House only,"Index, 201612=100",43.0
224,1999-09,"Calgary, Alberta",House only,"Index, 201612=100",43.2
225,1999-10,"Calgary, Alberta",House only,"Index, 201612=100",43.3
226,1999-11,"Calgary, Alberta",House only,"Index, 201612=100",43.4
227,1999-12,"Calgary, Alberta",House only,"Index, 201612=100",43.5
228,2000-01,"Calgary, Alberta",House only,"Index, 201612=100",43.5
