,REF_DATE,GEO,New housing price indexes,UOM,HPI_vancouver_bc
147,1993-04,"Vancouver, British Columbia",House only,"Index, 201612=100",99.7
148,1993-05,"Vancouver, British Columbia",House only,"Index, 201612=100",97.3
149,1993-06,"Vancouver, British Columbia",House only,"Index, 201612=100",97.7
150,1993-07,"Vancouver, British Columbia",House only,"Index, 201612=100",99.7
151,1993-08,"Vancouver, British Columbia",House only,"Index, 201612=100",99.9
152,1993-09,"Vancouver, British Columbia",House only,"Index, 201612=100",99.6
153,1993-10,"Vancouver, British Columbia",House only,"Index, 201612=100",100.2
154,1993-11,"Vancouver, British Columbia",House only,"Index, 201612=100",100.0
155,1993-12,"Vancouver, British Columbia",House only,"Index, 201612=100",98.9
156,1994-01,"Vancouver, British Columbia",House only,"Index, 201612=100",98.7
157,1994-02,"Vancouver, British Columbia",House only,"Index, 201612=100",99.0
158,1994-03,"Vancouver, British Columbia",House only,"Index, 201612=100",98.0
159,1994-04,"Vancouver, British Columbia",House only,"Index, 201612=100",98.2
160,1994-05,"Vancouver, British Columbia",House only,"Index, 201612=100",97.8
161,1994-06,"Vancouver, British Columbia",House only,"Index, 201612=100",97.8
162,1994-07,"Vancouver, British Columbia",House only,"Index, 201612=100",96.6
163,1994-08,"Vancouver, British Columbia",House only,"Index, 201612=100",96.5
164,1994-09,"Vancouver, British Columbia",House only,"Index, 201612=100",96.1
165,1994-10,"Vancouver, British Columbia",House only,"Index, 201612=100",95.3
166,1994-11,"Vancouver, British Columbia",House only,"Index, 201612=100",94.8
167,1994-12,"Vancouver, British Columbia",House only,"Index, 201612=100",94.4
168,1995-01,"Vancouver, British Columbia",House only,"Index, 201612=100",93.9
169,1995-02,"Vancouver, British Columbia",House only,"Index, 201612=100",93.0
170,1995-03,"Vancouver, British Columbia",House only,"Index, 201612=100",91.7
171,1995-04,"Vancouver, British Columbia",House only,"Index, 201612=100",91.2
172,1995-05,"Vancouver, British Columbia",House only,"Index, 201612=100",91.4
173,1995-06,"Vancouver, British Columbia",House only,"Index, 201612=100",90.8
174,1995-07,"Vancouver, British Columbia",House only,"Index, 201612=100",90.1
175,1995-08,"Vancouver, British Columbia",House only,"Index, 201612=100",89.9
176,1995-09,"Vancouver, British Columbia",House only,"Index, 201612=100",89.3
177,1995-10,"Vancouver, British Columbia",House only,"Index, 201612=100",87.6
178,1995-11,"Vancouver, British Columbia",House only,"Index, 201612=100",87.0
179,1995-12,"Vancouver, British Columbia",House only,"Index, 201612=100",86.7
180,1996-01,"Vancouver, British Columbia",House only,"Index, 201612=100",86.3
181,1996-02,"Vancouver, British Columbia",House only,"Index, 201612=100",85.7
182,1996-03,"Vancouver, British Columbia",House only,"Index, 201612=100",84.6
183,1996-04,"Vancouver, British Columbia",House only,"Index, 201612=100",82.9
184,1996-05,"Vancouver, British Columbia",House only,"Index, 201612=100",82.6
185,1996-06,"Vancouver, British Columbia",House only,"Index, 201612=100",82.2
186,1996-07,"Vancouver, British Columbia",House only,"Index, 201612=100",82.1
187,1996-08,"Vancouver, British Columbia",House only,"Index, 201612=100",81.8
188,1996-09,"Vancouver, British Columbia",House only,"Index, 201612=100",81.8
189,1996-10,"Vancouver, British Columbia",House only,"Index, 201612=100",80.8
190,1996-11,"Vancouver, British Columbia",House only,"Index, 201612=100",81.0
191,1996-12,"Vancouver, British Columbia",House only,"Index, 201612=100",80.2
192,1997-01,"Vancouver, British Columbia",House only,"Index, 201612=100",80.1
193,1997-02,"Vancouver, British Columbia",House only,"Index, 201612=100",80.2
194,1997-03,"Vancouver, British Columbia",House only,"Index, 201612=100",80.1
195,1997-04,"Vancouver, British Columbia",House only,"Index, 201612=100",80.2
196,1997-05,"Vancouver, British Columbia",House only,"Index, 201612=100",80.1
