,REF_DATE,GEO,New housing price indexes,UOM,HPI_ottawa_gatineau_qc
150,1993-07,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
151,1993-08,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
152,1993-09,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
153,1993-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
154,1993-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
155,1993-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
156,1994-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
157,1994-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
158,1994-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
159,1994-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
160,1994-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
161,1994-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
162,1994-07,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
163,1994-08,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
164,1994-09,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
165,1994-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
166,1994-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
167,1994-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
168,1995-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
169,1995-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
170,1995-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
171,1995-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
172,1995-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
173,1995-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
174,1995-07,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
175,1995-08,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
176,1995-09,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
177,1995-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
178,1995-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
179,1995-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
180,1996-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
181,1996-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
182,1996-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
183,1996-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
184,1996-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
185,1996-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
186,1996-07,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
187,1996-08,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
188,1996-09,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
189,1996-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
190,1996-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
191,1996-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
192,1997-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
193,1997-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
194,1997-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
195,1997-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
196,1997-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
197,1997-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
198,1997-07,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
199,1997-08,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
200,1997-09,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
201,1997-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
202,1997-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
203,1997-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
