,REF_DATE,GEO,New housing price indexes,UOM,HPI_charlottetown_pei
103,1989-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
104,1989-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
105,1989-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
106,1989-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
107,1989-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
108,1990-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
109,1990-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
110,1990-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
111,1990-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
112,1990-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
113,1990-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
114,1990-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
115,1990-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
116,1990-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
117,1990-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
118,1990-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
119,1990-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
120,1991-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
121,1991-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
122,1991-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
123,1991-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
124,1991-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
125,1991-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
126,1991-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
127,1991-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
128,1991-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
129,1991-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
130,1991-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
131,1991-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
132,1992-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
133,1992-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
134,1992-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
135,1992-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
136,1992-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
137,1992-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
138,1992-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
139,1992-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
140,1992-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
141,1992-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
142,1992-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
143,1992-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
144,1993-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
145,1993-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
146,1993-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
147,1993-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
148,1993-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
149,1993-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
150,1993-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
151,1993-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
152,1993-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
153,1993-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
154,1993-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
155,1993-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
