,REF_DATE,GEO,New housing price indexes,UOM,HPI_prairie_region
271,2003-08,Prairie Region,House only,"Index, 201612=100",54.8
272,2003-09,Prairie Region,House only,"Index, 201612=100",55.3
273,2003-10,Prairie Region,House only,"Index, 201612=100",55.8
274,2003-11,Prairie Region,House only,"Index, 201612=100",56.1
275,2003-12,Prairie Region,House only,"Index, 201612=100",56.6
276,2004-01,Prairie Region,House only,"Index, 201612=100",56.6
277,2004-02,Prairie Region,House only,"Index, 201612=100",56.6
278,2004-03,Prairie Region,House only,"Index, 201612=100",56.8
279,2004-04,Prairie Region,House only,"Index, 201612=100",57.1
280,2004-05,Prairie Region,House only,"Index, 201612=100",57.5
281,2004-06,Prairie Region,House only,"Index, 201612=100",58.0
282,2004-07,Prairie Region,House only,"Index, 201612=100",58.1
283,2004-08,Prairie Region,House only,"Index, 201612=100",58.2
284,2004-09,Prairie Region,House only,"Index, 201612=100",58.6
285,2004-10,Prairie Region,House only,"Index, 201612=100",58.9
286,2004-11,Prairie Region,House only,"Index, 201612=100",58.9
287,2004-12,Prairie Region,House only,"Index, 201612=100",58.9
288,2005-01,Prairie Region,House only,"Index, 201612=100",59.1
289,2005-02,Prairie Region,House only,"Index, 201612=100",59.5
290,2005-03,Prairie Region,House only,"Index, 201612=100",59.8
291,2005-04,Prairie Region,House only,"Index, 201612=100",60.1
292,2005-05,Prairie Region,House only,"Index, 201612=100",60.3
293,2005-06,Prairie Region,House only,"Index, 201612=100",61.1
294,2005-07,Prairie Region,House only,"Index, 201612=100",61.2
295,2005-08,Prairie Region,House only,"Index, 201612=100",61.5
296,2005-09,Prairie Region,House only,"Index, 201612=100",62.6
297,2005-10,Prairie Region,House only,"Index, 201612=100",64.3
298,2005-11,Prairie Region,House only,"Index, 201612=100",65.9
299,2005-12,Prairie Region,House only,"Index, 201612=100",68.3
300,2006-01,Prairie Region,House only,"Index, 201612=100",69.9
301,2006-02,Prairie Region,House only,"Index, 201612=100",71.4
302,2006-03,Prairie Region,House only,"Index, 201612=100",74.4
303,2006-04,Prairie Region,House only,"Index, 201612=100",77.6
304,2006-05,Prairie Region,House only,"Index, 201612=100",80.8
305,2006-06,Prairie Region,House only,"Index, 201612=100",85.1
306,2006-07,Prairie Region,House only,"Index, 201612=100",87.3
307,2006-08,Prairie Region,House only,"Index, 201612=100",90.4
308,2006-09,Prairie Region,House only,"Index, 201612=100",91.6
309,2006-10,Prairie Region,House only,"Index, 201612=100",91.8
310,2006-11,Prairie Region,House only,"Index, 201612=100",92.5
311,2006-12,Prairie Region,House only,"Index, 201612=100",91.9
312,2007-01,Prairie Region,House only,"Index, 201612=100",93.0
313,2007-02,Prairie Region,House only,"Index, 201612=100",94.2
314,2007-03,Prairie Region,House only,"Index, 201612=100",94.8
315,2007-04,Prairie Region,House only,"Index, 201612=100",96.9
316,2007-05,Prairie Region,House only,"Index, 201612=100",99.4
317,2007-06,Prairie Region,House only,"Index, 201612=100",99.9
318,2007-07,Prairie Region,House only,"Index, 201612=100",102.1
319,2007-08,Prairie Region,House only,"Index, 201612=100",102.6
320,2007-09,Prairie Region,House only,"Index, 201612=100",102.9
321,2007-10,Prairie Region,House only,"Index, 201612=100",102.7
322,2007-11,Prairie Region,House only,"Index, 201612=100",102.7
323,2007-12,Prairie Region,House only,"Index, 201612=100",102.7
324,2008-01,Prairie Region,House only,"Index, 201612=100",102.5
325,2008-02,Prairie Region,House only,"Index, 201612=100",102.2
326,2008-03,Prairie Region,House only,"Index, 201612=100",101.9
327,2008-04,Prairie Region,House only,"Index, 201612=100",101.2
328,2008-05,Prairie Region,House only,"Index, 201612=100",99.9
329,2008-06,Prairie Region,House only,"Index, 201612=100",99.0
330,2008-07,Prairie Region,House only,"Index, 201612=100",98.8
331,2008-08,Prairie Region,House only,"Index, 201612=100",98.1
332,2008-09,Prairie Region,House only,"Index, 201612=100",98.0
333,2008-10,Prairie Region,House only,"Index, 201612=100",96.0
334,2008-11,Prairie Region,House only,"Index, 201612=100",95.1
335,2008-12,Prairie Region,House only,"Index, 201612=100",94.2
336,2009-01,Prairie Region,House only,"Index, 201612=100",92.2
337,2009-02,Prairie Region,House only,"Index, 201612=100",90.9
338,2009-03,Prairie Region,House only,"Index, 201612=100",90.3
339,2009-04,Prairie Region,House only,"Index, 201612=100",89.5
340,2009-05,Prairie Region,House only,"Index, 201612=100",89.5
341,2009-06,Prairie Region,House only,"Index, 201612=100",89.4
342,2009-07,Prairie Region,House only,"Index, 201612=100",89.9
343,2009-08,Prairie Region,House only,"Index, 201612=100",90.2
344,2009-09,Prairie Region,House only,"Index, 201612=100",90.5
345,2009-10,Prairie Region,House only,"Index, 201612=100",90.9
346,2009-11,Prairie Region,House only,"Index, 201612=100",91.1
347,2009-12,Prairie Region,House only,"Index, 201612=100",91.3
348,2010-01,Prairie Region,House only,"Index, 201612=100",91.9
349,2010-02,Prairie Region,House only,"Index, 201612=100",92.1
350,2010-03,Prairie Region,House only,"Index, 201612=100",92.5
351,2010-04,Prairie Region,House only,"Index, 201612=100",92.6
352,2010-05,Prairie Region,House only,"Index, 201612=100",93.1
353,2010-06,Prairie Region,House only,"Index, 201612=100",93.0
354,2010-07,Prairie Region,House only,"Index, 201612=100",93.0
355,2010-08,Prairie Region,House only,"Index, 201612=100",93.0
356,2010-09,Prairie Region,House only,"Index, 201612=100",93.1
357,2010-10,Prairie Region,House only,"Index, 201612=100",92.7
358,2010-11,Prairie Region,House only,"Index, 201612=100",92.5
359,2010-12,Prairie Region,House only,"Index, 201612=100",92.5
360,2011-01,Prairie Region,House only,"Index, 201612=100",92.6
361,2011-02,Prairie Region,House only,"Index, 201612=100",92.7
362,2011-03,Prairie Region,House only,"Index, 201612=100",92.6
363,2011-04,Prairie Region,House only,"Index, 201612=100",92.5
364,2011-05,Prairie Region,House only,"Index, 201612=100",92.8
365,2011-06,Prairie Region,House only,"Index, 201612=100",92.9
366,2011-07,Prairie Region,House only,"Index, 201612=100",92.6
367,2011-08,Prairie Region,House only,"Index, 201612=100",92.6
368,2011-09,Prairie Region,House only,"Index, 201612=100",93.1
369,2011-10,Prairie Region,House only,"Index, 201612=100",93.4
370,2011-11,Prairie Region,House only,"Index, 201612=100",93.4
