,REF_DATE,GEO,New housing price indexes,UOM,HPI_quebec_qc
131,1991-12,"Québec, Quebec",House only,"Index, 201612=100",62.3
132,1992-01,"Québec, Quebec",House only,"Index, 201612=100",62.3
133,1992-02,"Québec, Quebec",House only,"Index, 201612=100",62.5
134,1992-03,"Québec, Quebec",House only,"Index, 201612=100",62.3
135,1992-04,"Québec, Quebec",House only,"Index, 201612=100",62.5
136,1992-05,"Québec, Quebec",House only,"Index, 201612=100",63.5
137,1992-06,"Québec, Quebec",House only,"Index, 201612=100",63.5
138,1992-07,"Québec, Quebec",House only,"Index, 201612=100",63.2
139,1992-08,"Québec, Quebec",House only,"Index, 201612=100",62.4
140,1992-09,"Québec, Quebec",House only,"Index, 201612=100",61.9
141,1992-10,"Québec, Quebec",House only,"Index, 201612=100",61.8
142,1992-11,"Québec, Quebec",House only,"Index, 201612=100",61.7
143,1992-12,"Québec, Quebec",House only,"Index, 201612=100",61.5
144,1993-01,"Québec, Quebec",House only,"Index, 201612=100",61.4
145,1993-02,"Québec, Quebec",House only,"Index, 201612=100",61.4
146,1993-03,"Québec, Quebec",House only,"Index, 201612=100",61.5
147,1993-04,"Québec, Quebec",House only,"Index, 201612=100",62.0
148,1993-05,"Québec, Quebec",House only,"Index, 201612=100",62.1
149,1993-06,"Québec, Quebec",House only,"Index, 201612=100",62.1
150,1993-07,"Québec, Quebec",House only,"Index, 201612=100",62.1
151,1993-08,"Québec, Quebec",House only,"Index, 201612=100",62.2
152,1993-09,"Québec, Quebec",House only,"Index, 201612=100",61.7
153,1993-10,"Québec, Quebec",House only,"Index, 201612=100",61.8
154,1993-11,"Québec, Quebec",House only,"Index, 201612=100",61.8
155,1993-12,"Québec, Quebec",House only,"Index, 201612=100",61.8
156,1994-01,"Québec, Quebec",House only,"Index, 201612=100",61.8
157,1994-02,"Québec, Quebec",House only,"Index, 201612=100",61.3
158,1994-03,"Québec, Quebec",House only,"Index, 201612=100",61.0
159,1994-04,"Québec, Quebec",House only,"Index, 201612=100",60.9
160,1994-05,"Québec, Quebec",House only,"Index, 201612=100",61.5
161,1994-06,"Québec, Quebec",House only,"Index, 201612=100",61.5
162,1994-07,"Québec, Quebec",House only,"Index, 201612=100",61.5
