,REF_DATE,GEO,New housing price indexes,UOM,HPI_guelph_ont
82,1987-11,"Guelph, Ontario",House only,"Index, 201612=100",
83,1987-12,"Guelph, Ontario",House only,"Index, 201612=100",
84,1988-01,"Guelph, Ontario",House only,"Index, 201612=100",
85,1988-02,"Guelph, Ontario",House only,"Index, 201612=100",
86,1988-03,"Guelph, Ontario",House only,"Index, 201612=100",
87,1988-04,"Guelph, Ontario",House only,"Index, 201612=100",
88,1988-05,"Guelph, Ontario",House only,"Index, 201612=100",
89,1988-06,"Guelph, Ontario",House only,"Index, 201612=100",
90,1988-07,"Guelph, Ontario",House only,"Index, 201612=100",
91,1988-08,"Guelph, Ontario",House only,"Index, 201612=100",
92,1988-09,"Guelph, Ontario",House only,"Index, 201612=100",
93,1988-10,"Guelph, Ontario",House only,"Index, 201612=100",
94,1988-11,"Guelph, Ontario",House only,"Index, 201612=100",
95,1988-12,"Guelph, Ontario",House only,"Index, 201612=100",
96,1989-01,"Guelph, Ontario",House only,"Index, 201612=100",
97,1989-02,"Guelph, Ontario",House only,"Index, 201612=100",
98,1989-03,"Guelph, Ontario",House only,"Index, 201612=100",
99,1989-04,"Guelph, Ontario",House only,"Index, 201612=100",
100,1989-05,"Guelph, Ontario",House only,"Index, 201612=100",
101,1989-06,"Guelph, Ontario",House only,"Index, 201612=100",
102,1989-07,"Guelph, Ontario",House only,"Index, 201612=100",
103,1989-08,"Guelph, Ontario",House only,"Index, 201612=100",
104,1989-09,"Guelph, Ontario",House only,"Index, 201612=100",
105,1989-10,"Guelph, Ontario",House only,"Index, 201612=100",
106,1989-11,"Guelph, Ontario",House only,"Index, 201612=100",
107,1989-12,"Guelph, Ontario",House only,"Index, 201612=100",
108,1990-01,"Guelph, Ontario",House only,"Index, 201612=100",
109,1990-02,"Guelph, Ontario",House only,"Index, 201612=100",
110,1990-03,"Guelph, Ontario",House only,"Index, 201612=100",
111,1990-04,"Guelph, Ontario",House only,"Index, 201612=100",
112,1990-05,"Guelph, Ontario",House only,"Index, 201612=100",
113,1990-06,"Guelph, Ontario",House only,"Index, 201612=100",
114,1990-07,"Guelph, Ontario",House only,"Index, 201612=100",
115,1990-08,"Guelph, Ontario",House only,"Index, 201612=100",
116,1990-09,"Guelph, Ontario",House only,"Index, 201612=100",
117,1990-10,"Guelph, Ontario",House only,"Index, 201612=100",
118,1990-11,"Guelph, Ontario",House only,"Index, 201612=100",
119,1990-12,"Guelph, Ontario",House only,"Index, 201612=100",
120,1991-01,"Guelph, Ontario",House only,"Index, 201612=100",
121,1991-02,"Guelph, Ontario",House only,"Index, 201612=100",
122,1991-03,"Guelph, Ontario",House only,"Index, 201612=100",
123,1991-04,"Guelph, Ontario",House only,"Index, 201612=100",
124,1991-05,"Guelph, Ontario",House only,"Index, 201612=100",
125,1991-06,"Guelph, Ontario",House only,"Index, 201612=100",
126,1991-07,"Guelph, Ontario",House only,"Index, 201612=100",
127,1991-08,"Guelph, Ontario",House only,"Index, 201612=100",
128,1991-09,"Guelph, Ontario",House only,"Index, 201612=100",
129,1991-10,"Guelph, Ontario",House only,"Index, 201612=100",
130,1991-11,"Guelph, Ontario",House only,"Index, 201612=100",
131,1991-12,"Guelph, Ontario",House only,"Index, 201612=100",
132,1992-01,"Guelph, Ontario",House only,"Index, 201612=100",
133,1992-02,"Guelph, Ontario",House only,"Index, 201612=100",
134,1992-03,"Guelph, Ontario",House only,"Index, 201612=100",
135,1992-04,"Guelph, Ontario",House only,"Index, 201612=100",
136,1992-05,"Guelph, Ontario",House only,"Index, 201612=100",
