,REF_DATE,GEO,New housing price indexes,UOM,HPI_edmonton_alb
118,1990-11,"Edmonton, Alberta",House only,"Index, 201612=100",45.5
119,1990-12,"Edmonton, Alberta",House only,"Index, 201612=100",45.5
120,1991-01,"Edmonton, Alberta",House only,"Index, 201612=100",45.7
121,1991-02,"Edmonton, Alberta",House only,"Index, 201612=100",45.1
122,1991-03,"Edmonton, Alberta",House only,"Index, 201612=100",45.2
123,1991-04,"Edmonton, Alberta",House only,"Index, 201612=100",45.0
124,1991-05,"Edmonton, Alberta",House only,"Index, 201612=100",44.9
125,1991-06,"Edmonton, Alberta",House only,"Index, 201612=100",45.2
126,1991-07,"Edmonton, Alberta",House only,"Index, 201612=100",45.1
127,1991-08,"Edmonton, Alberta",House only,"Index, 201612=100",45.2
128,1991-09,"Edmonton, Alberta",House only,"Index, 201612=100",45.2
129,1991-10,"Edmonton, Alberta",House only,"Index, 201612=100",45.2
130,1991-11,"Edmonton, Alberta",House only,"Index, 201612=100",45.2
131,1991-12,"Edmonton, Alberta",House only,"Index, 201612=100",45.3
132,1992-01,"Edmonton, Alberta",House only,"Index, 201612=100",44.4
133,1992-02,"Edmonton, Alberta",House only,"Index, 201612=100",44.4
134,1992-03,"Edmonton, Alberta",House only,"Index, 201612=100",45.3
135,1992-04,"Edmonton, Alberta",House only,"Index, 201612=100",45.0
136,1992-05,"Edmonton, Alberta",House only,"Index, 201612=100",45.5
137,1992-06,"Edmonton, Alberta",House only,"Index, 201612=100",45.5
138,1992-07,"Edmonton, Alberta",House only,"Index, 201612=100",45.5
139,1992-08,"Edmonton, Alberta",House only,"Index, 201612=100",45.7
140,1992-09,"Edmonton, Alberta",House only,"Index, 201612=100",45.7
141,1992-10,"Edmonton, Alberta",House only,"Index, 201612=100",46.0
142,1992-11,"Edmonton, Alberta",House only,"Index, 201612=100",45.9
143,1992-12,"Edmonton, Alberta",House only,"Index, 201612=100",45.9
144,1993-01,"Edmonton, Alberta",House only,"Index, 201612=100",45.9
145,1993-02,"Edmonton, Alberta",House only,"Index, 201612=100",47.0
146,1993-03,"Edmonton, Alberta",House only,"Index, 201612=100",47.9
147,1993-04,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
148,1993-05,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
149,1993-06,"Edmonton, Alberta",House only,"Index, 201612=100",47.7
150,1993-07,"Edmonton, Alberta",House only,"Index, 201612=100",47.7
151,1993-08,"Edmonton, Alberta",House only,"Index, 201612=100",47.5
152,1993-09,"Edmonton, Alberta",House only,"Index, 201612=100",47.7
153,1993-10,"Edmonton, Alberta",House only,"Index, 201612=100",47.9
154,1993-11,"Edmonton, Alberta",House only,"Index, 201612=100",47.9
155,1993-12,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
156,1994-01,"Edmonton, Alberta",House only,"Index, 201612=100",48.6
157,1994-02,"Edmonton, Alberta",House only,"Index, 201612=100",48.6
158,1994-03,"Edmonton, Alberta",House only,"Index, 201612=100",48.6
159,1994-04,"Edmonton, Alberta",House only,"Index, 201612=100",48.6
160,1994-05,"Edmonton, Alberta",House only,"Index, 201612=100",48.3
161,1994-06,"Edmonton, Alberta",House only,"Index, 201612=100",48.3
162,1994-07,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
163,1994-08,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
164,1994-09,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
165,1994-10,"Edmonton, Alberta",House only,"Index, 201612=100",48.2
166,1994-11,"Edmonton, Alberta",House only,"Index, 201612=100",47.9
167,1994-12,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
168,1995-01,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
169,1995-02,"Edmonton, Alberta",House only,"Index, 201612=100",46.8
170,1995-03,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
171,1995-04,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
172,1995-05,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
173,1995-06,"Edmonton, Alberta",House only,"Index, 201612=100",47.9
174,1995-07,"Edmonton, Alberta",House only,"Index, 201612=100",47.9
175,1995-08,"Edmonton, Alberta",House only,"Index, 201612=100",47.7
176,1995-09,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
177,1995-10,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
178,1995-11,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
179,1995-12,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
180,1996-01,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
181,1996-02,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
182,1996-03,"Edmonton, Alberta",House only,"Index, 201612=100",48.2
183,1996-04,"Edmonton, Alberta",House only,"Index, 201612=100",48.2
184,1996-05,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
185,1996-06,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
186,1996-07,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
187,1996-08,"Edmonton, Alberta",House only,"Index, 201612=100",47.8
188,1996-09,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
189,1996-10,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
190,1996-11,"Edmonton, Alberta",House only,"Index, 201612=100",48.0
191,1996-12,"Edmonton, Alberta",House only,"Index, 201612=100",48.1
192,1997-01,"Edmonton, Alberta",House only,"Index, 201612=100",48.5
193,1997-02,"Edmonton, Alberta",House only,"Index, 201612=100",48.8
194,1997-03,"Edmonton, Alberta",House only,"Index, 201612=100",48.8
195,1997-04,"Edmonton, Alberta",House only,"Index, 201612=100",48.9
196,1997-05,"Edmonton, Alberta",House only,"Index, 201612=100",49.0
197,1997-06,"Edmonton, Alberta",House only,"Index, 201612=100",49.1
198,1997-07,"Edmonton, Alberta",House only,"Index, 201612=100",49.1
