,REF_DATE,GEO,New housing price indexes,UOM,HPI_kelowna_bc
69,1986-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
70,1986-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
71,1986-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
72,1987-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
73,1987-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
74,1987-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
75,1987-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
76,1987-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
77,1987-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
78,1987-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
79,1987-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
80,1987-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
81,1987-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
82,1987-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
83,1987-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
84,1988-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
85,1988-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
86,1988-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
87,1988-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
88,1988-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
89,1988-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
90,1988-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
91,1988-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
92,1988-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
93,1988-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
94,1988-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
95,1988-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
96,1989-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
97,1989-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
98,1989-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
99,1989-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
100,1989-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
101,1989-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
102,1989-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
103,1989-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
104,1989-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
105,1989-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
106,1989-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
107,1989-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
108,1990-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
109,1990-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
110,1990-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
111,1990-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
112,1990-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
113,1990-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
114,1990-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
115,1990-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
116,1990-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
117,1990-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
118,1990-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
119,1990-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
120,1991-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
121,1991-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
122,1991-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
123,1991-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
124,1991-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
125,1991-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
126,1991-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
127,1991-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
128,1991-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
129,1991-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
130,1991-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
131,1991-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
132,1992-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
133,1992-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
134,1992-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
135,1992-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
136,1992-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
137,1992-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
138,1992-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
139,1992-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
140,1992-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
141,1992-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
142,1992-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
143,1992-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
144,1993-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
145,1993-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
146,1993-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
147,1993-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
148,1993-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
149,1993-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
150,1993-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
151,1993-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
152,1993-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
153,1993-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
