,REF_DATE,GEO,New housing price indexes,UOM,HPI_windsor_ont
189,1996-10,"Windsor, Ontario",House only,"Index, 201612=100",88.8
190,1996-11,"Windsor, Ontario",House only,"Index, 201612=100",93.1
191,1996-12,"Windsor, Ontario",House only,"Index, 201612=100",93.1
192,1997-01,"Windsor, Ontario",House only,"Index, 201612=100",93.3
193,1997-02,"Windsor, Ontario",House only,"Index, 201612=100",94.0
194,1997-03,"Windsor, Ontario",House only,"Index, 201612=100",94.1
195,1997-04,"Windsor, Ontario",House only,"Index, 201612=100",93.9
196,1997-05,"Windsor, Ontario",House only,"Index, 201612=100",93.9
197,1997-06,"Windsor, Ontario",House only,"Index, 201612=100",94.2
198,1997-07,"Windsor, Ontario",House only,"Index, 201612=100",94.2
199,1997-08,"Windsor, Ontario",House only,"Index, 201612=100",94.8
200,1997-09,"Windsor, Ontario",House only,"Index, 201612=100",94.8
201,1997-10,"Windsor, Ontario",House only,"Index, 201612=100",95.0
202,1997-11,"Windsor, Ontario",House only,"Index, 201612=100",95.0
203,1997-12,"Windsor, Ontario",House only,"Index, 201612=100",95.0
204,1998-01,"Windsor, Ontario",House only,"Index, 201612=100",95.0
205,1998-02,"Windsor, Ontario",House only,"Index, 201612=100",95.0
206,1998-03,"Windsor, Ontario",House only,"Index, 201612=100",95.0
207,1998-04,"Windsor, Ontario",House only,"Index, 201612=100",95.0
208,1998-05,"Windsor, Ontario",House only,"Index, 201612=100",95.0
209,1998-06,"Windsor, Ontario",House only,"Index, 201612=100",95.1
210,1998-07,"Windsor, Ontario",House only,"Index, 201612=100",95.1
211,1998-08,"Windsor, Ontario",House only,"Index, 201612=100",94.9
212,1998-09,"Windsor, Ontario",House only,"Index, 201612=100",94.2
213,1998-10,"Windsor, Ontario",House only,"Index, 201612=100",94.2
214,1998-11,"Windsor, Ontario",House only,"Index, 201612=100",94.2
215,1998-12,"Windsor, Ontario",House only,"Index, 201612=100",94.2
216,1999-01,"Windsor, Ontario",House only,"Index, 201612=100",95.6
217,1999-02,"Windsor, Ontario",House only,"Index, 201612=100",94.8
218,1999-03,"Windsor, Ontario",House only,"Index, 201612=100",94.9
219,1999-04,"Windsor, Ontario",House only,"Index, 201612=100",95.6
220,1999-05,"Windsor, Ontario",House only,"Index, 201612=100",95.5
221,1999-06,"Windsor, Ontario",House only,"Index, 201612=100",95.1
222,1999-07,"Windsor, Ontario",House only,"Index, 201612=100",95.4
223,1999-08,"Windsor, Ontario",House only,"Index, 201612=100",95.4
224,1999-09,"Windsor, Ontario",House only,"Index, 201612=100",95.8
225,1999-10,"Windsor, Ontario",House only,"Index, 201612=100",95.8
226,1999-11,"Windsor, Ontario",House only,"Index, 201612=100",95.8
227,1999-12,"Windsor, Ontario",House only,"Index, 201612=100",95.8
228,2000-01,"Windsor, Ontario",House only,"Index, 201612=100",95.8
229,2000-02,"Windsor, Ontario",House only,"Index, 201612=100",96.7
230,2000-03,"Windsor, Ontario",House only,"Index, 201612=100",96.4
231,2000-04,"Windsor, Ontario",House only,"Index, 201612=100",96.4
232,2000-05,"Windsor, Ontario",House only,"Index, 201612=100",96.4
233,2000-06,"Windsor, Ontario",House only,"Index, 201612=100",96.4
234,2000-07,"Windsor, Ontario",House only,"Index, 201612=100",96.4
235,2000-08,"Windsor, Ontario",House only,"Index, 201612=100",96.4
236,2000-09,"Windsor, Ontario",House only,"Index, 201612=100",96.4
237,2000-10,"Windsor, Ontario",House only,"Index, 201612=100",96.4
238,2000-11,"Windsor, Ontario",House only,"Index, 201612=100",96.4
239,2000-12,"Windsor, Ontario",House only,"Index, 201612=100",96.4
240,2001-01,"Windsor, Ontario",House only,"Index, 201612=100",96.4
241,2001-02,"Windsor, Ontario",House only,"Index, 201612=100",96.4
242,2001-03,"Windsor, Ontario",House only,"Index, 201612=100",96.3
243,2001-04,"Windsor, Ontario",House only,"Index, 201612=100",96.4
244,2001-05,"Windsor, Ontario",House only,"Index, 201612=100",96.4
245,2001-06,"Windsor, Ontario",House only,"Index, 201612=100",96.4
246,2001-07,"Windsor, Ontario",House only,"Index, 201612=100",96.4
247,2001-08,"Windsor, Ontario",House only,"Index, 201612=100",96.4
248,2001-09,"Windsor, Ontario",House only,"Index, 201612=100",96.4
249,2001-10,"Windsor, Ontario",House only,"Index, 201612=100",96.4
250,2001-11,"Windsor, Ontario",House only,"Index, 201612=100",96.4
251,2001-12,"Windsor, Ontario",House only,"Index, 201612=100",96.4
252,2002-01,"Windsor, Ontario",House only,"Index, 201612=100",96.4
253,2002-02,"Windsor, Ontario",House only,"Index, 201612=100",96.4
254,2002-03,"Windsor, Ontario",House only,"Index, 201612=100",96.4
255,2002-04,"Windsor, Ontario",House only,"Index, 201612=100",96.4
256,2002-05,"Windsor, Ontario",House only,"Index, 201612=100",96.3
257,2002-06,"Windsor, Ontario",House only,"Index, 201612=100",96.3
258,2002-07,"Windsor, Ontario",House only,"Index, 201612=100",96.3
259,2002-08,"Windsor, Ontario",House only,"Index, 201612=100",96.4
260,2002-09,"Windsor, Ontario",House only,"Index, 201612=100",96.4
261,2002-10,"Windsor, Ontario",House only,"Index, 201612=100",96.4
262,2002-11,"Windsor, Ontario",House only,"Index, 201612=100",96.4
263,2002-12,"Windsor, Ontario",House only,"Index, 201612=100",96.4
264,2003-01,"Windsor, Ontario",House only,"Index, 201612=100",96.4
