,REF_DATE,GEO,New housing price indexes,UOM,HPI_london_ont
308,2006-09,"London, Ontario",House only,"Index, 201612=100",78.8
309,2006-10,"London, Ontario",House only,"Index, 201612=100",78.8
310,2006-11,"London, Ontario",House only,"Index, 201612=100",77.9
311,2006-12,"London, Ontario",House only,"Index, 201612=100",78.6
312,2007-01,"London, Ontario",House only,"Index, 201612=100",79.0
313,2007-02,"London, Ontario",House only,"Index, 201612=100",78.7
314,2007-03,"London, Ontario",House only,"Index, 201612=100",78.7
315,2007-04,"London, Ontario",House only,"Index, 201612=100",78.8
316,2007-05,"London, Ontario",House only,"Index, 201612=100",79.4
317,2007-06,"London, Ontario",House only,"Index, 201612=100",80.2
318,2007-07,"London, Ontario",House only,"Index, 201612=100",80.7
319,2007-08,"London, Ontario",House only,"Index, 201612=100",80.7
320,2007-09,"London, Ontario",House only,"Index, 201612=100",81.3
321,2007-10,"London, Ontario",House only,"Index, 201612=100",81.1
322,2007-11,"London, Ontario",House only,"Index, 201612=100",81.5
323,2007-12,"London, Ontario",House only,"Index, 201612=100",81.5
324,2008-01,"London, Ontario",House only,"Index, 201612=100",82.0
325,2008-02,"London, Ontario",House only,"Index, 201612=100",82.0
326,2008-03,"London, Ontario",House only,"Index, 201612=100",82.3
327,2008-04,"London, Ontario",House only,"Index, 201612=100",83.0
328,2008-05,"London, Ontario",House only,"Index, 201612=100",83.3
329,2008-06,"London, Ontario",House only,"Index, 201612=100",84.1
330,2008-07,"London, Ontario",House only,"Index, 201612=100",84.1
331,2008-08,"London, Ontario",House only,"Index, 201612=100",84.1
332,2008-09,"London, Ontario",House only,"Index, 201612=100",84.1
333,2008-10,"London, Ontario",House only,"Index, 201612=100",84.1
334,2008-11,"London, Ontario",House only,"Index, 201612=100",84.1
335,2008-12,"London, Ontario",House only,"Index, 201612=100",84.1
336,2009-01,"London, Ontario",House only,"Index, 201612=100",84.1
337,2009-02,"London, Ontario",House only,"Index, 201612=100",84.9
338,2009-03,"London, Ontario",House only,"Index, 201612=100",84.9
339,2009-04,"London, Ontario",House only,"Index, 201612=100",84.9
340,2009-05,"London, Ontario",House only,"Index, 201612=100",84.9
341,2009-06,"London, Ontario",House only,"Index, 201612=100",84.9
342,2009-07,"London, Ontario",House only,"Index, 201612=100",84.9
343,2009-08,"London, Ontario",House only,"Index, 201612=100",84.9
344,2009-09,"London, Ontario",House only,"Index, 201612=100",84.9
345,2009-10,"London, Ontario",House only,"Index, 201612=100",84.9
346,2009-11,"London, Ontario",House only,"Index, 201612=100",85.4
347,2009-12,"London, Ontario",House only,"Index, 201612=100",85.4
348,2010-01,"London, Ontario",House only,"Index, 201612=100",85.4
349,2010-02,"London, Ontario",House only,"Index, 201612=100",87.4
350,2010-03,"London, Ontario",House only,"Index, 201612=100",89.3
351,2010-04,"London, Ontario",House only,"Index, 201612=100",89.3
352,2010-05,"London, Ontario",House only,"Index, 201612=100",89.2
353,2010-06,"London, Ontario",House only,"Index, 201612=100",89.2
354,2010-07,"London, Ontario",House only,"Index, 201612=100",87.6
355,2010-08,"London, Ontario",House only,"Index, 201612=100",87.6
356,2010-09,"London, Ontario",House only,"Index, 201612=100",87.7
357,2010-10,"London, Ontario",House only,"Index, 201612=100",87.4
358,2010-11,"London, Ontario",House only,"Index, 201612=100",87.8
359,2010-12,"London, Ontario",House only,"Index, 201612=100",87.8
360,2011-01,"London, Ontario",House only,"Index, 201612=100",87.8
361,2011-02,"London, Ontario",House only,"Index, 201612=100",87.8
362,2011-03,"London, Ontario",House only,"Index, 201612=100",87.8
363,2011-04,"London, Ontario",House only,"Index, 201612=100",87.8
364,2011-05,"London, Ontario",House only,"Index, 201612=100",88.1
365,2011-06,"London, Ontario",House only,"Index, 201612=100",88.8
366,2011-07,"London, Ontario",House only,"Index, 201612=100",89.1
367,2011-08,"London, Ontario",House only,"Index, 201612=100",89.1
368,2011-09,"London, Ontario",House only,"Index, 201612=100",89.1
369,2011-10,"London, Ontario",House only,"Index, 201612=100",89.1
370,2011-11,"London, Ontario",House only,"Index, 201612=100",89.3
371,2011-12,"London, Ontario",House only,"Index, 201612=100",89.3
372,2012-01,"London, Ontario",House only,"Index, 201612=100",89.3
373,2012-02,"London, Ontario",House only,"Index, 201612=100",89.3
374,2012-03,"London, Ontario",House only,"Index, 201612=100",89.3
375,2012-04,"London, Ontario",House only,"Index, 201612=100",89.8
376,2012-05,"London, Ontario",House only,"Index, 201612=100",89.8
377,2012-06,"London, Ontario",House only,"Index, 201612=100",89.8
378,2012-07,"London, Ontario",House only,"Index, 201612=100",89.8
379,2012-08,"London, Ontario",House only,"Index, 201612=100",90.4
380,2012-09,"London, Ontario",House only,"Index, 201612=100",90.4
381,2012-10,"London, Ontario",House only,"Index, 201612=100",90.4
382,2012-11,"London, Ontario",House only,"Index, 201612=100",91.1
383,2012-12,"London, Ontario",House only,"Index, 201612=100",91.1
384,2013-01,"London, Ontario",House only,"Index, 201612=100",91.1
385,2013-02,"London, Ontario",House only,"Index, 201612=100",91.4
386,2013-03,"London, Ontario",House only,"Index, 201612=100",91.4
387,2013-04,"London, Ontario",House only,"Index, 201612=100",91.4
388,2013-05,"London, Ontario",House only,"Index, 201612=100",91.4
389,2013-06,"London, Ontario",House only,"Index, 201612=100",92.0
390,2013-07,"London, Ontario",House only,"Index, 201612=100",92.0
391,2013-08,"London, Ontario",House only,"Index, 201612=100",92.0
392,2013-09,"London, Ontario",House only,"Index, 201612=100",92.3
393,2013-10,"London, Ontario",House only,"Index, 201612=100",92.8
394,2013-11,"London, Ontario",House only,"Index, 201612=100",93.0
