,REF_DATE,GEO,New housing price indexes,UOM,HPI_victoria_bc
170,1995-03,"Victoria, British Columbia",House only,"Index, 201612=100",145.5
171,1995-04,"Victoria, British Columbia",House only,"Index, 201612=100",145.2
172,1995-05,"Victoria, British Columbia",House only,"Index, 201612=100",142.7
173,1995-06,"Victoria, British Columbia",House only,"Index, 201612=100",140.9
174,1995-07,"Victoria, British Columbia",House only,"Index, 201612=100",141.1
175,1995-08,"Victoria, British Columbia",House only,"Index, 201612=100",139.6
176,1995-09,"Victoria, British Columbia",House only,"Index, 201612=100",138.8
177,1995-10,"Victoria, British Columbia",House only,"Index, 201612=100",136.7
178,1995-11,"Victoria, British Columbia",House only,"Index, 201612=100",134.5
179,1995-12,"Victoria, British Columbia",House only,"Index, 201612=100",132.4
180,1996-01,"Victoria, British Columbia",House only,"Index, 201612=100",132.6
181,1996-02,"Victoria, British Columbia",House only,"Index, 201612=100",131.8
182,1996-03,"Victoria, British Columbia",House only,"Index, 201612=100",131.4
183,1996-04,"Victoria, British Columbia",House only,"Index, 201612=100",130.8
184,1996-05,"Victoria, British Columbia",House only,"Index, 201612=100",129.6
185,1996-06,"Victoria, British Columbia",House only,"Index, 201612=100",127.8
186,1996-07,"Victoria, British Columbia",House only,"Index, 201612=100",127.7
187,1996-08,"Victoria, British Columbia",House only,"Index, 201612=100",130.4
188,1996-09,"Victoria, British Columbia",House only,"Index, 201612=100",130.4
189,1996-10,"Victoria, British Columbia",House only,"Index, 201612=100",129.5
190,1996-11,"Victoria, British Columbia",House only,"Index, 201612=100",128.5
191,1996-12,"Victoria, British Columbia",House only,"Index, 201612=100",126.5
192,1997-01,"Victoria, British Columbia",House only,"Index, 201612=100",127.2
193,1997-02,"Victoria, British Columbia",House only,"Index, 201612=100",127.3
194,1997-03,"Victoria, British Columbia",House only,"Index, 201612=100",127.3
195,1997-04,"Victoria, British Columbia",House only,"Index, 201612=100",126.5
196,1997-05,"Victoria, British Columbia",House only,"Index, 201612=100",125.5
197,1997-06,"Victoria, British Columbia",House only,"Index, 201612=100",126.4
198,1997-07,"Victoria, British Columbia",House only,"Index, 201612=100",126.4
199,1997-08,"Victoria, British Columbia",House only,"Index, 201612=100",126.0
200,1997-09,"Victoria, British Columbia",House only,"Index, 201612=100",124.2
201,1997-10,"Victoria, British Columbia",House only,"Index, 201612=100",123.6
202,1997-11,"Victoria, British Columbia",House only,"Index, 201612=100",122.9
203,1997-12,"Victoria, British Columbia",House only,"Index, 201612=100",123.2
204,1998-01,"Victoria, British Columbia",House only,"Index, 201612=100",121.8
205,1998-02,"Victoria, British Columbia",House only,"Index, 201612=100",120.3
206,1998-03,"Victoria, British Columbia",House only,"Index, 201612=100",119.1
207,1998-04,"Victoria, British Columbia",House only,"Index, 201612=100",117.3
208,1998-05,"Victoria, British Columbia",House only,"Index, 201612=100",114.9
209,1998-06,"Victoria, British Columbia",House only,"Index, 201612=100",113.1
210,1998-07,"Victoria, British Columbia",House only,"Index, 201612=100",113.2
211,1998-08,"Victoria, British Columbia",House only,"Index, 201612=100",113.4
212,1998-09,"Victoria, British Columbia",House only,"Index, 201612=100",112.3
213,1998-10,"Victoria, British Columbia",House only,"Index, 201612=100",112.4
214,1998-11,"Victoria, British Columbia",House only,"Index, 201612=100",111.8
215,1998-12,"Victoria, British Columbia",House only,"Index, 201612=100",112.3
216,1999-01,"Victoria, British Columbia",House only,"Index, 201612=100",111.9
217,1999-02,"Victoria, British Columbia",House only,"Index, 201612=100",110.9
218,1999-03,"Victoria, British Columbia",House only,"Index, 201612=100",109.8
219,1999-04,"Victoria, British Columbia",House only,"Index, 201612=100",110.0
220,1999-05,"Victoria, British Columbia",House only,"Index, 201612=100",109.5
221,1999-06,"Victoria, British Columbia",House only,"Index, 201612=100",109.6
222,1999-07,"Victoria, British Columbia",House only,"Index, 201612=100",109.3
223,1999-08,"Victoria, British Columbia",House only,"Index, 201612=100",107.7
224,1999-09,"Victoria, British Columbia",House only,"Index, 201612=100",105.7
225,1999-10,"Victoria, British Columbia",House only,"Index, 201612=100",104.7
226,1999-11,"Victoria, British Columbia",House only,"Index, 201612=100",103.7
227,1999-12,"Victoria, British Columbia",House only,"Index, 201612=100",103.2
228,2000-01,"Victoria, British Columbia",House only,"Index, 201612=100",102.4
229,2000-02,"Victoria, British Columbia",House only,"Index, 201612=100",102.3
230,2000-03,"Victoria, British Columbia",House only,"Index, 201612=100",101.3
231,2000-04,"Victoria, British Columbia",House only,"Index, 201612=100",101.3
232,2000-05,"Victoria, British Columbia",House only,"Index, 201612=100",101.4
233,2000-06,"Victoria, British Columbia",House only,"Index, 201612=100",101.4
234,2000-07,"Victoria, British Columbia",House only,"Index, 201612=100",101.1
235,2000-08,"Victoria, British Columbia",House only,"Index, 201612=100",101.1
236,2000-09,"Victoria, British Columbia",House only,"Index, 201612=100",101.3
237,2000-10,"Victoria, British Columbia",House only,"Index, 201612=100",100.8
238,2000-11,"Victoria, British Columbia",House only,"Index, 201612=100",101.9
239,2000-12,"Victoria, British Columbia",House only,"Index, 201612=100",102.4
240,2001-01,"Victoria, British Columbia",House only,"Index, 201612=100",102.1
241,2001-02,"Victoria, British Columbia",House only,"Index, 201612=100",102.6
242,2001-03,"Victoria, British Columbia",House only,"Index, 201612=100",102.8
243,2001-04,"Victoria, British Columbia",House only,"Index, 201612=100",102.8
244,2001-05,"Victoria, British Columbia",House only,"Index, 201612=100",102.9
245,2001-06,"Victoria, British Columbia",House only,"Index, 201612=100",102.9
246,2001-07,"Victoria, British Columbia",House only,"Index, 201612=100",103.1
247,2001-08,"Victoria, British Columbia",House only,"Index, 201612=100",103.1
248,2001-09,"Victoria, British Columbia",House only,"Index, 201612=100",102.9
249,2001-10,"Victoria, British Columbia",House only,"Index, 201612=100",103.1
250,2001-11,"Victoria, British Columbia",House only,"Index, 201612=100",103.2
251,2001-12,"Victoria, British Columbia",House only,"Index, 201612=100",103.2
252,2002-01,"Victoria, British Columbia",House only,"Index, 201612=100",103.2
253,2002-02,"Victoria, British Columbia",House only,"Index, 201612=100",103.6
254,2002-03,"Victoria, British Columbia",House only,"Index, 201612=100",103.6
255,2002-04,"Victoria, British Columbia",House only,"Index, 201612=100",103.4
256,2002-05,"Victoria, British Columbia",House only,"Index, 201612=100",108.5
257,2002-06,"Victoria, British Columbia",House only,"Index, 201612=100",108.8
258,2002-07,"Victoria, British Columbia",House only,"Index, 201612=100",109.6
259,2002-08,"Victoria, British Columbia",House only,"Index, 201612=100",109.6
260,2002-09,"Victoria, British Columbia",House only,"Index, 201612=100",109.6
261,2002-10,"Victoria, British Columbia",House only,"Index, 201612=100",111.1
262,2002-11,"Victoria, British Columbia",House only,"Index, 201612=100",111.3
263,2002-12,"Victoria, British Columbia",House only,"Index, 201612=100",111.6
264,2003-01,"Victoria, British Columbia",House only,"Index, 201612=100",111.6
265,2003-02,"Victoria, British Columbia",House only,"Index, 201612=100",111.6
266,2003-03,"Victoria, British Columbia",House only,"Index, 201612=100",112.8
267,2003-04,"Victoria, British Columbia",House only,"Index, 201612=100",114.2
268,2003-05,"Victoria, British Columbia",House only,"Index, 201612=100",114.7
269,2003-06,"Victoria, British Columbia",House only,"Index, 201612=100",115.6
270,2003-07,"Victoria, British Columbia",House only,"Index, 201612=100",117.1
271,2003-08,"Victoria, British Columbia",House only,"Index, 201612=100",117.8
272,2003-09,"Victoria, British Columbia",House only,"Index, 201612=100",119.0
273,2003-10,"Victoria, British Columbia",House only,"Index, 201612=100",119.1
274,2003-11,"Victoria, British Columbia",House only,"Index, 201612=100",120.1
275,2003-12,"Victoria, British Columbia",House only,"Index, 201612=100",120.4
276,2004-01,"Victoria, British Columbia",House only,"Index, 201612=100",120.5
277,2004-02,"Victoria, British Columbia",House only,"Index, 201612=100",120.7
278,2004-03,"Victoria, British Columbia",House only,"Index, 201612=100",122.7
279,2004-04,"Victoria, British Columbia",House only,"Index, 201612=100",124.2
280,2004-05,"Victoria, British Columbia",House only,"Index, 201612=100",125.5
281,2004-06,"Victoria, British Columbia",House only,"Index, 201612=100",126.4
282,2004-07,"Victoria, British Columbia",House only,"Index, 201612=100",126.9
283,2004-08,"Victoria, British Columbia",House only,"Index, 201612=100",128.2
284,2004-09,"Victoria, British Columbia",House only,"Index, 201612=100",128.7
285,2004-10,"Victoria, British Columbia",House only,"Index, 201612=100",128.2
286,2004-11,"Victoria, British Columbia",House only,"Index, 201612=100",128.2
287,2004-12,"Victoria, British Columbia",House only,"Index, 201612=100",129.1
288,2005-01,"Victoria, British Columbia",House only,"Index, 201612=100",129.3
289,2005-02,"Victoria, British Columbia",House only,"Index, 201612=100",131.0
290,2005-03,"Victoria, British Columbia",House only,"Index, 201612=100",132.1
291,2005-04,"Victoria, British Columbia",House only,"Index, 201612=100",132.0
292,2005-05,"Victoria, British Columbia",House only,"Index, 201612=100",131.5
293,2005-06,"Victoria, British Columbia",House only,"Index, 201612=100",132.3
294,2005-07,"Victoria, British Columbia",House only,"Index, 201612=100",132.5
295,2005-08,"Victoria, British Columbia",House only,"Index, 201612=100",136.8
296,2005-09,"Victoria, British Columbia",House only,"Index, 201612=100",137.6
297,2005-10,"Victoria, British Columbia",House only,"Index, 201612=100",137.6
298,2005-11,"Victoria, British Columbia",House only,"Index, 201612=100",138.1
299,2005-12,"Victoria, British Columbia",House only,"Index, 201612=100",136.0
300,2006-01,"Victoria, British Columbia",House only,"Index, 201612=100",135.6
301,2006-02,"Victoria, British Columbia",House only,"Index, 201612=100",135.6
302,2006-03,"Victoria, British Columbia",House only,"Index, 201612=100",136.6
303,2006-04,"Victoria, British Columbia",House only,"Index, 201612=100",136.3
304,2006-05,"Victoria, British Columbia",House only,"Index, 201612=100",134.3
305,2006-06,"Victoria, British Columbia",House only,"Index, 201612=100",134.6
306,2006-07,"Victoria, British Columbia",House only,"Index, 201612=100",132.5
307,2006-08,"Victoria, British Columbia",House only,"Index, 201612=100",133.6
308,2006-09,"Victoria, British Columbia",House only,"Index, 201612=100",133.7
309,2006-10,"Victoria, British Columbia",House only,"Index, 201612=100",132.4
310,2006-11,"Victoria, British Columbia",House only,"Index, 201612=100",132.4
311,2006-12,"Victoria, British Columbia",House only,"Index, 201612=100",131.7
312,2007-01,"Victoria, British Columbia",House only,"Index, 201612=100",131.5
313,2007-02,"Victoria, British Columbia",House only,"Index, 201612=100",130.8
314,2007-03,"Victoria, British Columbia",House only,"Index, 201612=100",132.0
315,2007-04,"Victoria, British Columbia",House only,"Index, 201612=100",130.8
316,2007-05,"Victoria, British Columbia",House only,"Index, 201612=100",124.6
317,2007-06,"Victoria, British Columbia",House only,"Index, 201612=100",125.4
318,2007-07,"Victoria, British Columbia",House only,"Index, 201612=100",124.5
319,2007-08,"Victoria, British Columbia",House only,"Index, 201612=100",124.5
320,2007-09,"Victoria, British Columbia",House only,"Index, 201612=100",124.1
321,2007-10,"Victoria, British Columbia",House only,"Index, 201612=100",124.8
322,2007-11,"Victoria, British Columbia",House only,"Index, 201612=100",125.9
323,2007-12,"Victoria, British Columbia",House only,"Index, 201612=100",125.9
324,2008-01,"Victoria, British Columbia",House only,"Index, 201612=100",126.0
325,2008-02,"Victoria, British Columbia",House only,"Index, 201612=100",126.0
326,2008-03,"Victoria, British Columbia",House only,"Index, 201612=100",126.0
327,2008-04,"Victoria, British Columbia",House only,"Index, 201612=100",125.6
328,2008-05,"Victoria, British Columbia",House only,"Index, 201612=100",124.4
329,2008-06,"Victoria, British Columbia",House only,"Index, 201612=100",124.3
330,2008-07,"Victoria, British Columbia",House only,"Index, 201612=100",124.9
331,2008-08,"Victoria, British Columbia",House only,"Index, 201612=100",124.4
332,2008-09,"Victoria, British Columbia",House only,"Index, 201612=100",124.9
333,2008-10,"Victoria, British Columbia",House only,"Index, 201612=100",122.5
334,2008-11,"Victoria, British Columbia",House only,"Index, 201612=100",121.0
335,2008-12,"Victoria, British Columbia",House only,"Index, 201612=100",120.3
336,2009-01,"Victoria, British Columbia",House only,"Index, 201612=100",118.1
337,2009-02,"Victoria, British Columbia",House only,"Index, 201612=100",115.0
338,2009-03,"Victoria, British Columbia",House only,"Index, 201612=100",113.2
339,2009-04,"Victoria, British Columbia",House only,"Index, 201612=100",112.2
340,2009-05,"Victoria, British Columbia",House only,"Index, 201612=100",111.8
341,2009-06,"Victoria, British Columbia",House only,"Index, 201612=100",111.0
342,2009-07,"Victoria, British Columbia",House only,"Index, 201612=100",103.6
343,2009-08,"Victoria, British Columbia",House only,"Index, 201612=100",104.0
344,2009-09,"Victoria, British Columbia",House only,"Index, 201612=100",103.9
