"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","110.6","","","","1"
"2019-10","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","105.2","","","","1"
"2019-10","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","108.4","","","","1"
"2019-10","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","96.6","","","","1"
"2019-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","124.7","","","","1"
"2019-10","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","116.3","","","","1"
"2019-10","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","79.8","","","","1"
"2019-10","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","91.3","","","","1"
"2019-10","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","104.3","","","","1"
"2019-10","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","137.9","","","","1"
"2020-01","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","117.1","","","","1"
"2020-01","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","109.6","E","","","1"
"2020-01","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","111.2","","","","1"
"2020-01","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","96.4","","","","1"
"2020-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","131.7","","","","1"
"2020-01","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","125.6","","","","1"
"2020-01","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","78.0","","","","1"
"2020-01","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","89.3","","","","1"
"2020-01","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","109.2","","","","1"
"2020-01","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","141.3","","","","1"
"2020-04","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","120.0","E","","","1"
"2020-04","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","109.8","E","","","1"
"2020-04","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","112.6","E","","","1"
"2020-04","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","95.1","E","","","1"
"2020-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","135.2","E","","","1"
"2020-04","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","130.0","E","","","1"
"2020-04","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","78.0","E","","","1"
"2020-04","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","89.6","E","","","1"
"2020-04","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","111.2","E","","","1"
"2020-04","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","141.7","E","","","1"
"2020-07","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","120.0","","","","1"
"2020-07","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","113.0","E","","","1"
"2020-07","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","113.8","","","","1"
"2020-07","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","96.0","","","","1"
"2020-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","135.2","E","","","1"
"2020-07","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","129.7","","","","1"
"2020-07","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","77.5","","","","1"
"2020-07","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","88.4","","","","1"
"2020-07","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","111.4","","","","1"
"2020-07","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","139.9","","","","1"
"2020-10","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","119.8","","","","1"
"2020-10","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","113.7","E","","","1"
"2020-10","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","115.7","","","","1"
"2020-10","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","98.9","","","","1"
"2020-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","136.1","E","","","1"
"2020-10","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","129.1","","","","1"
"2020-10","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","78.6","","","","1"
"2020-10","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","85.9","","","","1"
"2020-10","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","110.8","","","","1"
"2020-10","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","139.3","","","","1"
"2021-01","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","119.8","","","","1"
"2021-01","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","117.9","E","","","1"
"2021-01","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","118.0","","","","1"
"2021-01","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","99.8","","","","1"
"2021-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","136.1","E","","","1"
"2021-01","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","128.5","","","","1"
"2021-01","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","78.7","","","","1"
"2021-01","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","85.8","","","","1"
